Código;Cond. Pagto;Descricao
F91;25,40,70,100,130,160,190,220,250,280;DIAS
F92;28,35,42,49;28,35,42,49DIAS
F93;30,61,92;30,61,92 DIAS
F94;0,30,60,90,120;0,30,60,90,120D
F95;84,30,30;50PARCELAS
F96;15,46,77;15,46,77 DIAS
F97;30,60,90,120,150;30,60,90,120,15
F98;15,34,45,65;15,34,45,65 DIA
F99;30,60,92;30,60,92 DIAS
FEL;1,30,10,25;DIA 10/25
FF0;28,42;28/42 DIAS
FF2;21,28,35;21/28/35 DIAS
FFF;31,61,92;31,61,92 DIAS
FRI;1,10,25,10;FRISIA
FTI;30,60,120;30,60,120 DIAS
G0;29,60,90;29,60,90 DIAS
G00;29,60,91;29,60,91 DIAS
G01;15,28;15,28 DIAS
G02;24,55;24,55 DIAS
G03;20,40,60,80;20,40,60,80DIAS
G04;23,54;23,54 DIAS
G07;19,4;19,40 DIAS
G08;31,62;31,62 DIAS
G09;24,55;24,55 DIAS
G1;21,42;21,42DIAS
G10;31,62,92;31,62,92 DIAS
G11;28,59,89;28,59,89 DIAS
G12;30,61,91;30,61,91 DIAS
G13;28,59;28,59 DIAS
G14;11,40,69;11,40,69 DIAS
G15;32,61,91;32,61,91 DIAS
G16;25,45;25,45 DIAS
G17;29,61;29,61 DIAS
G18;21,52;21,52 DIAS
G19;31,62,92,123,153;31,62,92,123,15
G20;20,39;20,39 DIAS
G21;21,40,60;21,40,60 DIAS
G22;23,38;23,38 DIAS
G23;33,62,92;33,62,92 DIAS
G24;25,50,75;25,50,75 DIAS
G25;29,63;29,63 DIAS
G26;88;88 DIAS
G27;119;119 DIAS
G28;31,61,92,122;31 61 92 122
G29;20,49,77;20,49,77 DIAS
G30;30,60,91;30, 60, 91 DIAS
G31;32,62;32, 62 DIAS
G32;39,69;39, 69 DIAS
G33;34,64,95;34, 64, 95 DIAS
G34;30,60,91;30,60,91 DIAS
G35;24,54,85;24,54,85 DIAS
G36;24,55,85,116,146;24,55,85,116,14
G37;24,55,85;24,55,85 DIAS
G38;28,55,83;28, 55, 83 DIAS
G39;15,27;15,27 DIAS
G40;29,59,90;29,59,90 DIAS
G41;20,50,80,110;20,50,80,110 DI
G42;63;63 DIAS
G43;94;94 DIAS
G44;26,56;26,56 DIAS
G45;24,5;24,50 DIAS
G46;29,60,90,121;29 60 90 121 DI
G47;30,60,90,120,150;30 60 90 120 15
G48;15,35;15 / 35 DIAS
G49;16,36;16 / 36 DIAS
G50;28,57;28 / 57 DIAS
G51;30,61,91,122;30,61,91,122 DI
G52;29,60,90;29/60/90 DIAS
G53;23,5384,114;23,5384,114 DIA
G54;23,53,84,114;23,53,84,114 DI
G55;30,61,91;30 / 61 / 91 DI
G56;30,58;30,58 DIAS
G57;20,5;20 / 50 DIAS
G58;21,51,82,112;21/51/82/112 DI
G59;21,46,72;21,46,72 DIAS
G60;82;82 DIAS
G61;30,60,90,120,150;30,60,90,120,15
G62;28,59,89;28,59,89 DIAS
G63;20,40,62;20/40/62 DIAS
G64;28,56,86;28/56/86 DIAS
G65;63;63 DIAS
G66;15,30,45,60;15,30,45,60 DIA
G67;34,65,95;34/65/95 DIAS
G68;32,63,93;32/63/93 DIAS
G69;22,53,83,114;22,53,83,114 DI
G70;19,48,78;19,48,78 DIAS
G71;124;124 DIAS
G72;27,55,83,111;27 55 83 111 DI
G73;33,61,92;33,61,92 DIAS
G74;31,61,82;31,61,82 DIAS
G75;28,58,89,120;28,58,89,120
G76;28,56,84;28/56/84 DIAS
G77;120;120 DIAS
G78;150;150 DIAS
G79;180;180 DIAS
G80;210;210 DIAS
